surveywave,id_state,id_school,id_teacher,treatment,strata,weight_lo,fpc_school,a_3,b_3,c_3,d_3,a_6,b_6,c_6,d_6,a_9,b_9,c_9,d_9,a_12,b_12,c_12,d_12,a_15,b_15,c_15,d_15,a_18,b_18,c_18,d_18,a_21,b_21,c_21,d_21,a_24,b_24,c_24,d_24,a_27,b_27,c_27,d_27,a_30,b_30,c_30,d_30,a_33,b_33,c_33,d_33,a_36,b_36,c_36,d_36,c16,c17,c18,c19,c20,c21,c22,c23,c24,praise,reprimand,n_interval_time,n_ped_positive
Round 1 Baseline,Zamfara,787,1,Control,350,2.75,.3636363636363637,instructs / presents / dictates,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,uses textbook,respond to open question,open question / response,Hausa,uses textbook,respond to closed question,None of the above,English,writes on / reads from blackboard,individual work,open question / response,English,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,instructs / presents / dictates,English,writes on / reads from blackboard,individual work,None of the above,Teacher was silent,None of the above,individual work,,,,,,,,,,55,C,ABC,,,e,2,No,12,2,30,20
Round 1 Baseline,Zamfara,787,2,Control,350,2.75,.3636363636363637,Explains,English,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,respond to open question,Explains,Hausa,uses textbook,respond to closed question,closed question / response,English,uses textbook,respond to closed question,chants,Hausa,writes on / reads from blackboard,individual work,Explains,Hausa,writes on / reads from blackboard,individual work,open question / response,English,uses textbook,individual work,open question / response,Hausa,uses textbook,individual work,open question / response,English,writes on / reads from blackboard,individual work,None of the above,Teacher was silent,None of the above,individual work,,,,,,,,,,44,C,ABC,,,e,3,No,14,4,30,33.33333206176758
Round 1 Baseline,Zamfara,787,3,Control,350,2.75,.3636363636363637,Explains,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,uses textbook,respond to open question,open question / response,English,uses textbook,respond to open question,open question / response,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,uses textbook,respond to closed question,chants,Hausa,writes on / reads from blackboard,None of the above,open question / response,English,writes on / reads from blackboard,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,moves around among students,individual work,None of the above,Teacher was silent,None of the above,individual work,,,,,,,,,,33,C,ABC,,,c,4,No,12,3,30,33.33333206176758
Round 1 Baseline,Zamfara,787,4,Control,350,2.75,.3636363636363637,Explains,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,respond to open question,closed question / response,English,writes on / reads from blackboard,respond to closed question,chants,English,writes on / reads from blackboard,individual work,chants,English,writes on / reads from blackboard,individual work,chants,English,uses textbook,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,,,,,,,,,,,,,,,62,D,ABC,,,a,1,No,8,3,27,12.96296215057373
Round 1 Baseline,Zamfara,791,1,Control,350,3.666666666666667,.3636363636363637,instructs / presents / dictates,Hausa,None of the above,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,moves around among students,respond to closed question,closed question / response,Hausa,None of the above,respond to closed question,chants,Hausa,moves around among students,None of the above,closed question / response,Hausa,None of the above,respond to closed question,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,assists / group discussion,Hausa,moves around among students,individual work,,,,,,,,,,,,,,28,AB,BC,,,c,4,No,7,,27,16.66666603088379
Round 1 Baseline,Zamfara,791,2,Control,350,3.666666666666667,.3636363636363637,instructs / presents / dictates,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,chants,Hausa,writes on / reads from blackboard,respond to closed question,chants,English,writes on / reads from blackboard,None of the above,chants,English,writes on / reads from blackboard,None of the above,assists / group discussion,English,moves around among students,None of the above,chants,English,writes on / reads from blackboard,None of the above,assists / group discussion,English,None of the above,None of the above,assists / group discussion,English,None of the above,None of the above,No,26,AB,ABC,,,c,1,No,5,1,36,18.05555534362793
Round 1 Baseline,Zamfara,791,3,Control,350,3.666666666666667,.3636363636363637,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,None of the above,respond to closed question,closed question / response,Hausa,None of the above,respond to closed question,assists / group discussion,Hausa,moves around among students,group or pair work,,,,,,,,,,,,,,,,,,,,,,28,ABC,ABCE,,,c,2,No,2,,21,23.80952262878418
Round 1 Baseline,Zamfara,797,2,Treatment,361,3.666666666666667,.3636363636363637,Explains,Hausa,writes on / reads from blackboard,respond to closed question,instructs / presents / dictates,Hausa,writes on / reads from blackboard,group discussion / presentation,instructs / presents / dictates,Hausa,uses textbook,group discussion / presentation,Explains,Hausa,demonstrates / displays work,group discussion / presentation,assists / group discussion,Hausa,demonstrates / displays work,individual work,instructs / presents / dictates,Hausa,demonstrates / displays work,group discussion / presentation,Explains,Hausa,demonstrates / displays work,respond to closed question,Explains,Hausa,demonstrates / displays work,group discussion / presentation,instructs / presents / dictates,Hausa,demonstrates / displays work,group discussion / presentation,Explains,Hausa,writes on / reads from blackboard,respond to open question,chants,Hausa,demonstrates / displays work,respond to open question,chants,Hausa,,,No,63,A,AC,,,f,2,No,11,,36,51.38888931274414
Round 1 Baseline,Zamfara,797,3,Treatment,361,3.666666666666667,.3636363636363637,instructs / presents / dictates,Hausa,writes on / reads from blackboard,group discussion / presentation,Explains,English,demonstrates / displays work,group discussion / presentation,instructs / presents / dictates,English,demonstrates / displays work,group discussion / presentation,Explains,English,writes on / reads from blackboard,group discussion / presentation,Explains,Hausa,writes on / reads from blackboard,group discussion / presentation,chants,Hausa,writes on / reads from blackboard,respond to open question,instructs / presents / dictates,Hausa,uses textbook,respond to closed question,chants,Hausa,writes on / reads from blackboard,respond to closed question,chants,Hausa,writes on / reads from blackboard,group discussion / presentation,,,,,,,,,,,,,,147,A,ACE,,,c,1,No,6,3,27,35.18518447875977
Round 1 Baseline,Zamfara,797,4,Treatment,361,3.666666666666667,.3636363636363637,Explains,Hausa,demonstrates / displays work,None of the above,Explains,English,moves around among students,None of the above,None of the above,Teacher was silent,moves around among students,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,open question / response,English,moves around among students,None of the above,Explains,English,moves around among students,None of the above,Explains,Hausa,moves around among students,None of the above,None of the above,Teacher was silent,moves around among students,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,None of the above,chants,English,moves around among students,None of the above,None of the above,Teacher was silent,None of the above,None of the above,Yes,103,,BC,,,b,1,Yes,10,7,36,29.16666603088379
Round 1 Baseline,Zamfara,798,2,Treatment,361,3.666666666666667,.3636363636363637,Explains,Hausa,writes on / reads from blackboard,respond to closed question,instructs / presents / dictates,Hausa,demonstrates / displays work,respond to closed question,Explains,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,respond to closed question,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,chants,English,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,moves around among students,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,moves around among students,None of the above,None of the above,Hausa,moves around among students,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,moves around among students,None of the above,Yes,94,,BC,,,c,1,No,4,,36,19.44444465637207
